Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
I1,26/09/18,Napoli,Parma,3,0,H,1,0,H,20,2,8,0,9,13,2,2,0,3,0,0,1.22,6,15,1.19,6.75,15.5,1.2,7,13,1.2,6.5,15,1.2,7.16,18.44,1.22,6.5,13,1.18,7,20,40,1.23,1.2,7.2,6.68,20,15.22,36,1.57,1.52,2.62,2.46,22,-2,2.12,2.05,1.84,1.8,1.22,6.51,16.35
I1,26/09/18,Roma,Frosinone,4,0,H,3,0,H,18,8,13,3,13,8,4,3,0,1,0,0,1.2,7,13,1.19,7.25,13.5,1.2,7,13,1.2,6.5,15,1.19,7.37,17.67,1.22,7,12,1.17,7.5,19,40,1.23,1.2,7.55,7.01,19,14.48,35,1.45,1.42,2.9,2.76,22,-2,2.1,1.99,1.91,1.87,1.2,7.13,16.11
I1,26/09/18,Udinese,Lazio,1,2,A,0,0,D,10,5,6,2,7,17,6,4,2,6,0,0,4.2,3.75,1.85,4.1,3.6,1.9,3.7,3.5,2,4,3.6,1.85,4.25,3.73,1.9,4,3.7,1.88,4.33,3.6,1.87,40,4.33,4.09,3.77,3.64,2,1.89,39,1.88,1.81,2.07,1.99,20,1,1.54,1.49,2.8,2.64,4.11,3.3,2.08
I1,27/09/18,Empoli,Milan,1,1,D,0,1,A,4,16,3,11,12,9,3,10,2,2,0,0,5.25,3.75,1.7,5,3.8,1.7,4.8,3.9,1.7,4.75,3.8,1.7,5.2,4.03,1.7,4.6,3.9,1.73,5.25,3.8,1.7,40,5.5,4.92,4.06,3.88,1.73,1.7,39,1.78,1.73,2.18,2.08,23,1,1.73,1.69,2.31,2.22,4.88,3.6,1.83
I1,27/09/18,Spal,Sassuolo,0,2,A,0,0,D,6,10,2,5,16,12,6,7,1,0,0,0,2.54,3.2,2.9,2.65,3.1,2.85,2.6,3.2,2.8,2.55,3.1,2.8,2.67,3.25,2.88,2.6,3.2,2.8,2.7,3.1,2.9,39,2.7,2.61,3.35,3.2,2.95,2.82,38,2.15,2.08,1.81,1.73,20,-0.25,2.28,2.22,1.74,1.69,2.46,3.25,3.22
I1,29/09/18,Inter,Cagliari,2,0,H,1,0,H,12,4,8,1,13,11,9,4,1,4,0,0,1.33,5,10,1.33,5,10,1.35,5.3,8,1.33,5,9.5,1.33,5.39,10.27,1.33,5.25,9,1.33,5.5,9.5,39,1.36,1.33,5.54,5.24,10.5,9.49,37,1.64,1.59,2.45,2.33,21,-1.5,2.01,1.96,1.94,1.9,1.4,4.86,9.07
I1,29/09/18,Juventus,Napoli,3,1,H,1,1,D,14,9,9,6,14,11,7,4,3,5,0,1,1.8,3.6,4.75,1.8,3.5,4.75,1.75,3.7,4.8,1.8,3.5,4.4,1.81,3.63,4.99,1.8,3.6,4.5,1.83,3.5,5,39,1.88,1.81,3.7,3.56,5.1,4.7,38,2.03,1.96,1.95,1.84,21,-1,2.63,2.5,1.61,1.55,1.86,3.43,5.03
I1,29/09/18,Roma,Lazio,3,1,H,1,0,H,10,11,7,5,11,10,8,9,3,1,0,0,2.37,3.5,2.9,2.4,3.5,2.85,2.3,3.6,2.95,2.3,3.5,2.9,2.35,3.6,3.11,2.4,3.4,3,2.38,3.5,3.1,39,2.45,2.34,3.7,3.56,3.18,2.97,37,1.66,1.61,2.38,2.28,22,-0.25,2.09,2.02,1.89,1.85,2.68,3.58,2.68
I1,30/09/18,Bologna,Udinese,2,1,H,1,1,D,11,10,6,2,7,12,3,4,2,4,0,0,2.5,3.1,3.1,2.65,2.95,3,2.5,3.1,3,2.55,3,3,2.71,3.06,3.03,2.6,3,3,2.6,3,3.1,39,2.71,2.59,3.1,3.02,3.2,3.02,37,2.55,2.42,1.6,1.54,20,-0.25,2.27,2.18,1.77,1.72,2.73,3.11,2.97
I1,30/09/18,Chievo,Torino,0,1,A,0,0,D,8,13,3,5,15,17,3,8,3,3,0,0,3.75,3.2,2.1,3.6,3.5,2.05,3.8,3.2,2.1,3.75,3.2,2.05,4.05,3.32,2.09,3.7,3.25,2.1,4.1,3.25,2.05,39,4.1,3.81,3.5,3.28,2.17,2.07,38,2.22,2.12,1.77,1.7,20,0.25,2.16,2.11,1.8,1.76,4.05,3.33,2.09
I1,30/09/18,Fiorentina,Atalanta,2,0,H,0,0,D,6,11,4,4,12,10,5,6,3,3,0,0,2.25,3.3,3.25,2.25,3.4,3.2,2.3,3.3,3.15,2.25,3.3,3.2,2.27,3.57,3.3,2.3,3.4,3.1,2.3,3.25,3.4,39,2.35,2.27,3.57,3.39,3.4,3.19,38,1.99,1.9,1.95,1.89,20,-0.25,1.99,1.95,1.96,1.92,2.39,3.44,3.17
I1,30/09/18,Frosinone,Genoa,1,2,A,1,2,A,13,7,6,5,21,18,5,2,3,2,0,0,3.5,3.1,2.25,3.4,3.2,2.25,3.6,3.2,2.15,3.3,3.1,2.25,3.43,3.22,2.36,3.3,3.25,2.3,3.6,3.1,2.25,39,3.6,3.4,3.3,3.2,2.36,2.26,38,2.28,2.18,1.73,1.67,20,0.25,1.97,1.92,2.01,1.94,3.59,3.37,2.22
I1,30/09/18,Parma,Empoli,1,0,H,1,0,H,7,10,3,6,13,8,2,12,2,3,0,0,2.3,3.2,3.3,2.2,3.3,3.4,2.3,3.2,3.3,2.25,3.25,3.2,2.35,3.38,3.29,2.3,3.3,3.2,2.3,3.2,3.4,39,2.37,2.3,3.39,3.27,3.4,3.24,37,2.14,2.02,1.84,1.78,20,-0.25,2.02,1.98,1.93,1.89,2.5,3.45,2.99
I1,30/09/18,Sassuolo,Milan,1,4,A,0,1,A,8,10,2,10,14,11,9,5,1,1,0,0,3.3,3.4,2.2,3.3,3.5,2.15,3.4,3.3,2.2,3.1,3.4,2.2,3.26,3.44,2.33,3.2,3.4,2.25,3.3,3.4,2.25,39,3.4,3.2,3.55,3.42,2.35,2.25,38,1.83,1.78,2.12,2.01,20,0.25,1.96,1.92,2,1.94,3.54,3.61,2.15
I1,01/10/18,Sampdoria,Spal,2,1,H,1,1,D,16,10,9,4,13,18,6,5,3,3,0,0,1.8,3.6,4.33,1.85,3.75,4.1,1.8,3.6,4.5,1.8,3.5,4.5,1.81,3.72,4.82,1.83,3.5,4.5,1.8,3.5,5,38,1.85,1.81,3.75,3.57,5,4.53,36,2,1.93,1.93,1.86,21,-1,2.63,2.52,1.61,1.53,1.79,3.65,5.11
I1,05/10/18,Torino,Frosinone,3,2,H,1,0,H,15,8,10,4,16,17,2,4,3,3,0,0,1.36,4.75,9,1.4,4.4,9,1.4,4.8,7.6,1.4,4.33,8,1.41,4.59,9.37,1.4,4.5,8.5,1.4,4.6,10,34,1.44,1.4,5,4.53,10,8.74,33,1.99,1.88,1.98,1.9,17,-1.5,2.33,2.25,1.71,1.67,1.46,4.31,8.67
I1,06/10/18,Cagliari,Bologna,2,0,H,1,0,H,8,10,5,4,8,16,4,4,2,4,0,0,2.04,3.25,3.8,2.05,3.3,3.9,2.05,3.2,3.9,2.1,3.1,3.75,2.1,3.3,4.05,2.05,3.2,3.9,2.1,3.13,4.1,36,2.13,2.08,3.35,3.23,4.1,3.88,35,2.35,2.28,1.67,1.61,18,-0.25,1.82,1.78,2.17,2.09,2.1,3.24,4.14
I1,06/10/18,Empoli,Roma,0,2,A,0,1,A,11,7,4,4,13,10,4,3,2,1,0,0,5.5,4,1.61,5.25,4,1.65,5,4,1.65,5,4,1.61,5.37,4.2,1.65,5,4,1.67,5.5,4,1.65,36,5.5,5.11,4.23,4.03,1.71,1.66,35,1.74,1.65,2.31,2.21,18,1,1.83,1.76,2.19,2.11,4.6,4.14,1.76
I1,06/10/18,Udinese,Juventus,0,2,A,0,2,A,5,13,4,7,14,13,4,8,3,1,0,0,9,4.75,1.36,9,5,1.36,7.6,4.8,1.4,9,4.6,1.36,9.8,4.79,1.39,8.5,4.75,1.38,11,5,1.33,36,11,9.11,5,4.8,1.4,1.37,35,1.84,1.78,2.12,2.02,18,1,2.54,2.43,1.6,1.57,12.24,5.37,1.31
I1,07/10/18,Atalanta,Sampdoria,0,1,A,0,0,D,15,6,6,3,17,13,9,4,2,4,0,0,1.6,4,5.5,1.57,4.1,5.75,1.75,3.8,4.6,1.61,3.9,5.25,1.66,4.03,5.58,1.65,4,5.25,1.6,4,6,36,1.75,1.62,4.2,4.03,6,5.44,35,1.79,1.73,2.15,2.08,20,-1,2.25,2.08,1.85,1.79,1.57,4.28,6.25
I1,07/10/18,Genoa,Parma,1,3,A,1,3,A,20,7,13,5,9,9,9,7,1,1,0,0,1.75,3.75,4.75,1.8,3.6,4.6,1.85,3.5,4.4,1.8,3.5,4.5,1.83,3.8,4.6,1.83,3.7,4.33,1.8,3.5,5,36,1.85,1.81,3.8,3.63,5,4.55,35,2.06,2,1.87,1.8,19,-1,2.7,2.53,1.59,1.53,1.75,3.66,5.4
I1,07/10/18,Lazio,Fiorentina,1,0,H,1,0,H,11,10,5,6,18,10,5,6,5,3,0,0,1.85,3.75,4.2,1.87,3.6,4.2,1.8,3.6,4.5,1.8,3.6,4.2,1.86,3.73,4.51,1.8,3.7,4.33,1.75,3.75,4.4,36,1.91,1.84,3.83,3.68,4.7,4.3,35,1.81,1.75,2.13,2.06,18,-1,2.6,2.51,1.6,1.54,1.79,3.83,4.83
I1,07/10/18,Milan,Chievo,3,1,H,2,0,H,14,4,7,2,9,12,12,7,1,1,0,0,1.25,5.75,12,1.3,5.5,10.5,1.33,5.5,8.4,1.28,5.5,12,1.28,5.84,12.11,1.29,5.5,11,1.25,6,15,36,1.33,1.28,6,5.6,15,11.28,33,1.65,1.61,2.41,2.28,18,-1.5,1.9,1.83,2.09,2.04,1.23,6.41,15.22
I1,07/10/18,Napoli,Sassuolo,2,0,H,1,0,H,12,10,7,7,11,8,4,4,2,2,0,1,1.33,5.25,9,1.35,5.25,8.5,1.37,5,8,1.33,5.2,9,1.36,5.31,9.19,1.36,5.25,8,1.3,5.5,10.5,36,1.37,1.34,5.57,5.3,10.5,8.6,32,1.48,1.44,2.85,2.68,18,-1.5,2,1.94,1.97,1.92,1.39,4.99,8.76
I1,07/10/18,Spal,Inter,1,2,A,0,1,A,9,6,6,4,13,20,10,9,6,2,0,0,6,3.8,1.61,5.5,3.7,1.67,5.3,3.9,1.65,5.75,3.7,1.61,5.87,3.77,1.68,5.8,3.6,1.67,6.25,3.6,1.67,36,6.25,5.74,3.95,3.71,1.69,1.65,35,2.15,2.03,1.85,1.77,20,1,1.79,1.72,2.23,2.15,7.21,3.98,1.56
