Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
I1,16/09/18,Juventus,Sassuolo,2,1,H,0,0,D,16,10,6,6,12,13,10,4,3,3,1,0,1.2,7,13,1.2,7,13,1.2,6.5,15,1.2,6.5,15,1.21,7.18,16.16,1.2,7,12,1.2,7,15,40,1.24,1.21,7.25,6.75,16.16,13.83,31,1.53,1.44,2.8,2.7,24,-2,2.11,2.04,1.88,1.82,1.21,6.94,15.44
I1,16/09/18,Roma,Chievo,2,2,D,2,0,H,15,10,9,5,10,15,9,2,1,1,0,0,1.22,6.5,13,1.22,6.75,12,1.25,6.1,11,1.22,6,13,1.24,6.71,13.78,1.22,6,12,1.22,7,12,40,1.27,1.23,7,6.45,13.78,12.13,34,1.47,1.41,3,2.82,23,-2,2.19,2.1,1.82,1.76,1.22,7.11,14.13
I1,16/09/18,Udinese,Torino,1,1,D,1,0,H,7,9,3,4,16,14,3,8,2,2,0,0,2.9,3.25,2.5,2.85,3.3,2.5,2.85,3.3,2.5,2.87,3.25,2.45,2.97,3.41,2.53,2.8,3.3,2.5,3,3.2,2.55,40,3.04,2.9,3.41,3.28,2.65,2.51,39,2.03,1.96,1.93,1.84,22,0,2.13,2.07,1.87,1.79,2.81,3.28,2.71
I1,17/09/18,Spal,Atalanta,2,0,H,0,0,D,13,13,6,4,14,16,4,4,3,5,0,0,4,3.5,1.95,4,3.5,1.95,4.1,3.5,1.9,4.2,3.4,1.87,4.51,3.53,1.92,4,3.5,1.91,4.4,3.5,1.91,38,4.51,4.24,3.59,3.47,1.98,1.91,38,2.13,2.03,1.85,1.77,20,0.75,1.75,1.71,2.25,2.18,4.94,3.84,1.76
I1,19/09/18,Sampdoria,Fiorentina,1,1,D,0,1,A,8,14,4,9,14,15,4,6,3,2,0,0,2.87,3.25,2.54,2.7,3.3,2.5,2.8,3.4,2.5,2.75,3.3,2.5,2.87,3.42,2.58,2.75,3.3,2.55,2.8,3.3,2.6,38,2.94,2.81,3.47,3.34,2.63,2.54,37,1.93,1.86,2.01,1.94,22,0,2.07,2.02,1.89,1.84,2.93,3.36,2.59
I1,21/09/18,Sassuolo,Empoli,3,1,H,1,1,D,20,16,10,11,15,9,5,4,1,4,0,1,2.1,3.3,3.6,2.05,3.4,3.7,2.1,3.35,3.55,2.1,3.4,3.3,2.17,3.47,3.62,2.15,3.4,3.3,2.15,3.4,3.7,40,2.19,2.13,3.48,3.36,3.9,3.55,39,1.94,1.84,2.05,1.96,22,-0.25,1.89,1.85,2.15,2.02,2.18,3.27,3.83
I1,22/09/18,Fiorentina,Spal,3,0,H,2,0,H,15,5,5,2,8,11,11,1,1,2,0,0,1.61,3.6,6.5,1.57,3.9,6.25,1.63,3.85,5.7,1.61,3.75,5.75,1.63,3.83,6.43,1.63,3.8,5.5,1.62,3.8,6.5,40,1.65,1.62,3.97,3.8,6.65,6.01,38,2.05,1.97,1.87,1.82,23,-1,2.17,2.1,1.8,1.76,1.68,3.78,5.8
I1,22/09/18,Parma,Cagliari,2,0,H,1,0,H,14,9,8,3,17,5,4,11,2,1,0,0,2.4,3.2,3.1,2.4,3.1,3.2,2.35,3.2,3.15,2.35,3.2,3.1,2.39,3.29,3.28,2.38,3.2,3.1,2.4,3.2,3.3,40,2.46,2.38,3.3,3.21,3.3,3.17,39,2.19,2.11,1.76,1.71,20,-0.25,2.07,2.02,1.88,1.85,2.48,3.36,3.04
I1,22/09/18,Sampdoria,Inter,0,1,A,0,0,D,9,14,4,5,12,14,3,12,3,2,0,0,4.33,3.8,1.8,4.2,3.7,1.85,4.2,3.8,1.83,4.2,3.7,1.83,4.3,3.91,1.85,4,3.7,1.83,4.5,3.7,1.83,39,4.55,4.21,3.95,3.77,1.92,1.84,38,1.83,1.76,2.13,2.04,20,0.75,1.82,1.79,2.13,2.08,4.55,3.64,1.87
I1,23/09/18,Bologna,Roma,2,0,H,1,0,H,7,20,2,9,8,13,1,10,2,4,0,0,5.5,3.75,1.66,5.5,3.75,1.67,5,3.85,1.7,4.8,3.8,1.67,5.57,3.76,1.71,4.8,3.7,1.73,5.5,3.8,1.67,40,5.57,5.2,4,3.77,1.77,1.7,39,1.87,1.81,2.08,1.98,23,1,1.74,1.7,2.3,2.2,5.84,3.98,1.65
